2D-A NumberofProtons,2D-A SpecificHeat,2D-X NumberofProtons,2D-X FirstIonization,2D-t,2D-u,3D-A NumberofProtons,3D-A SpecificHeat,3D-X NumberofShells,3D-t,3D-u,Eg
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,4,1.030842416,0.270408163,3.466
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,2,1.140494808,0.398496241,3.461
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,5,1.00238214,0.240909091,3.442
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,4,0.814856386,0.607142857,3.564
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,3,0.820243866,0.657458564,3.548
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,2,0.841793787,0.894736842,3.366
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,5,0.807228095,0.540909091,3.302
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,4,0.968602874,0.352040816,3.423
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,3,0.984292639,0.38121547,3.321
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,2,1.050158586,0.518796992,3.326
55,0.242,35,11.8138,1.030842416,0.270408163,55,0.242,5,0.946886935,0.313636364,3.286
55,0.242,35,11.8138,1.030842416,0.270408163,3,3.582,4,0.610581094,0.607142857,3.106
55,0.242,35,11.8138,1.030842416,0.270408163,3,3.582,2,0.586449672,0.894736842,1.893
55,0.242,35,11.8138,1.030842416,0.270408163,3,3.582,5,0.617414771,0.540909091,3.106
55,0.242,35,11.8138,1.030842416,0.270408163,3,3.582,4,0.725785074,0.352040816,3.28
55,0.242,35,11.8138,1.030842416,0.270408163,3,3.582,2,0.731610482,0.518796992,3.25
55,0.242,35,11.8138,1.030842416,0.270408163,11,1.228,4,0.668945463,0.607142857,3.258
55,0.242,35,11.8138,1.030842416,0.270408163,11,1.228,5,0.671647149,0.540909091,3.319
55,0.242,35,11.8138,1.030842416,0.270408163,11,1.228,4,0.795161588,0.352040816,3.26
55,0.242,35,11.8138,1.030842416,0.270408163,11,1.228,2,0.822624226,0.518796992,3.104
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,4,0.988245622,0.270408163,3.437
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,2,1.083470068,0.398496241,3.395
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,4,0.781184634,0.607142857,3.539
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,3,0.784888527,0.657458564,3.513
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,2,0.799704098,0.894736842,3.311
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,5,0.775940185,0.540909091,3.552
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,4,0.928577962,0.352040816,3.297
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,2,0.997650657,0.518796992,3.248
55,0.242,35,11.8138,1.030842416,0.270408163,37,0.363,5,0.910185891,0.313636364,3.512
55,0.242,17,12.9676,1.0515947,0.29281768,55,0.242,4,0.814856386,0.607142857,3.656
55,0.242,17,12.9676,1.0515947,0.29281768,55,0.242,2,0.841793787,0.894736842,3.677
55,0.242,17,12.9676,1.0515947,0.29281768,55,0.242,5,0.807228095,0.540909091,3.482
55,0.242,17,12.9676,1.0515947,0.29281768,55,0.242,4,0.968602874,0.352040816,3.559
55,0.242,17,12.9676,1.0515947,0.29281768,55,0.242,2,1.050158586,0.518796992,3.569
55,0.242,17,12.9676,1.0515947,0.29281768,37,0.363,4,0.781184634,0.607142857,3.636
55,0.242,17,12.9676,1.0515947,0.29281768,37,0.363,2,0.799704098,0.894736842,3.445
55,0.242,17,12.9676,1.0515947,0.29281768,37,0.363,4,0.928577962,0.352040816,3.616
55,0.242,17,12.9676,1.0515947,0.29281768,37,0.363,2,0.997650657,0.518796992,3.491
55,0.242,9,17.4228,1.140494808,0.398496241,55,0.242,4,0.814856386,0.607142857,3.104
55,0.242,9,17.4228,1.140494808,0.398496241,55,0.242,2,0.841793787,0.894736842,3.164
55,0.242,9,17.4228,1.140494808,0.398496241,55,0.242,5,0.807228095,0.540909091,2.799
55,0.242,9,17.4228,1.140494808,0.398496241,55,0.242,4,0.968602874,0.352040816,3.65
55,0.242,9,17.4228,1.140494808,0.398496241,55,0.242,2,1.050158586,0.518796992,3.664
55,0.242,9,17.4228,1.140494808,0.398496241,37,0.363,4,0.781184634,0.607142857,2.866
55,0.242,9,17.4228,1.140494808,0.398496241,37,0.363,2,0.799704098,0.894736842,3.107
55,0.242,9,17.4228,1.140494808,0.398496241,37,0.363,4,0.928577962,0.352040816,3.594
55,0.242,9,17.4228,1.140494808,0.398496241,37,0.363,2,0.997650657,0.518796992,3.628
55,0.242,53,10.4513,1.00238214,0.240909091,55,0.242,4,0.814856386,0.607142857,3.311
55,0.242,53,10.4513,1.00238214,0.240909091,55,0.242,2,0.841793787,0.894736842,3.126
55,0.242,53,10.4513,1.00238214,0.240909091,55,0.242,5,0.807228095,0.540909091,3.092
55,0.242,53,10.4513,1.00238214,0.240909091,55,0.242,4,0.968602874,0.352040816,3.141
55,0.242,53,10.4513,1.00238214,0.240909091,55,0.242,2,1.050158586,0.518796992,3.103
55,0.242,53,10.4513,1.00238214,0.240909091,37,0.363,4,0.781184634,0.607142857,3.295
55,0.242,53,10.4513,1.00238214,0.240909091,37,0.363,2,0.799704098,0.894736842,3.058
55,0.242,53,10.4513,1.00238214,0.240909091,37,0.363,4,0.928577962,0.352040816,3.094
55,0.242,53,10.4513,1.00238214,0.240909091,37,0.363,2,0.997650657,0.518796992,3.044
55,0.242,35,11.8138,0.814856386,0.607142857,55,0.242,4,1.030842416,0.270408163,3.37
